,food_list,source
598,粵菜,eHowNet-food
599,肉鬆,eHowNet-food
600,胃脯,eHowNet-food
601,脯,eHowNet-food
602,腊,eHowNet-food
603,膾脯,eHowNet-food
604,葷腥,eHowNet-food
605,葷菜,eHowNet-food
606,葷食,eHowNet-food
607,豆乾,eHowNet-food
608,豆腐乾,eHowNet-food
609,豆腐干,eHowNet-food
610,下酒菜,eHowNet-food
611,酒菜,eHowNet-food
612,酒餚,eHowNet-food
613,前菜,eHowNet-food
614,開胃菜,eHowNet-food
615,雜拌,eHowNet-food
616,雜拌兒,eHowNet-food
617,雜燴,eHowNet-food
618,雜膾,eHowNet-food
619,左宗棠雞,eHowNet-food
620,麻油雞,eHowNet-food
621,壽司,eHowNet-food
622,手卷,eHowNet-food
623,乾貝,eHowNet-food
624,干貝,eHowNet-food
625,海味,eHowNet-food
626,海鮮,eHowNet-food
627,魚鮮,eHowNet-food
628,一品鍋,eHowNet-food
629,涮涮鍋,eHowNet-food
630,火鍋,eHowNet-food
631,石頭火鍋,eHowNet-food
632,素雞,eHowNet-food
633,素,eHowNet-food
634,素菜,eHowNet-food
635,素食,eHowNet-food
636,素餐,eHowNet-food
637,蔬食,eHowNet-food
638,老豆腐,eHowNet-food
639,臭豆腐,eHowNet-food
640,百頁,eHowNet-food
641,豆腐,eHowNet-food
642,豆腐腦兒,eHowNet-food
643,韓國泡菜,eHowNet-food
644,泡菜,eHowNet-food
645,蔭瓜,eHowNet-food
646,酸菜,eHowNet-food
647,醃漬物,eHowNet-food
648,醬瓜,eHowNet-food
649,醬菜,eHowNet-food
650,麵筋,eHowNet-food
651,味精,eHowNet-food
652,味素,eHowNet-food
653,沙爹,eHowNet-food
654,沙茶,eHowNet-food
655,蒜汁,eHowNet-food
656,薑汁,eHowNet-food
657,甜酒釀,eHowNet-food
658,酒釀,eHowNet-food
659,乳酪,eHowNet-food
660,乳餅,eHowNet-food
661,乾酪,eHowNet-food
662,奶酪,eHowNet-food
663,牛酪,eHowNet-food
664,羊乳酪,eHowNet-food
665,起士,eHowNet-food
666,酪,eHowNet-food
667,加哩粉,eHowNet-food
668,加里,eHowNet-food
669,咖哩,eHowNet-food
670,咖喱,eHowNet-food
671,代糖,eHowNet-food
672,山梨醇,eHowNet-food
673,木糖醇,eHowNet-food
674,甘味劑,eHowNet-food
675,甜味劑,eHowNet-food
676,糖精,eHowNet-food
677,焦糖,eHowNet-food
678,特砂,eHowNet-food
679,糖蜜,eHowNet-food
680,紅糖,eHowNet-food
681,黑糖,eHowNet-food
682,冰糖,eHowNet-food
683,單醣,eHowNet-food
684,方糖,eHowNet-food
685,果寡糖,eHowNet-food
686,沙糖,eHowNet-food
687,砂糖,eHowNet-food
688,糖,eHowNet-food
689,糖分,eHowNet-food
690,糖瓜,eHowNet-food
691,糖類,eHowNet-food
692,蔗糖,eHowNet-food
693,醣,eHowNet-food
694,食糖,eHowNet-food
695,花蜜,eHowNet-food
696,蜂蜜,eHowNet-food
697,蜜,eHowNet-food
698,蜜糖,eHowNet-food
